Gene,ENSEMBL,Gene Synonyms,Subprocess,Class,Group,Hallmark
TSPO,ENSG00000100300,"BPBS, BZRP, DBI, IBP, MBR, mDRC, PBR, PBS, pk18, PKBS, PTBR",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
NIPSNAP1,ENSG00000184117,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
NIPSNAP2,ENSG00000146729,GBAS,Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
HUWE1,ENSG00000086758,"ARF-BP1, HECTH9, HSPC272, Ib772, KIAA0312, KIAA1578, LASU1, MRXST, MULE, URE-B1, UREB1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
MFN1,ENSG00000171109,"hfzo1, hfzo2",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
MFN2,ENSG00000116688,"CMT2A, CMT2A2, CMT2A2A, CMT2A2B, CPRP1, HMSN6A, HSG, KIAA0214, MARF",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
DNM1L,ENSG00000087470,"DLP1, DRP1, DVLP, DYMPLE, EMPF, EMPF1, HDYNIV, OPA5",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
PARK7,ENSG00000116288,"DJ-1, DJ1, GATD2, HEL-S-67p",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
TRIM13,ENSG00000204977,"CAR, DLEU5, LEU5, RFP2, RNF77",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
DDRGK1,ENSG00000198171,"C20orf116, dJ1187M17.3, SEMDSH, UFBP1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
UFL1,ENSG00000014123,"KIAA0776, Maxer, NLBP, RCAD",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
UBA5,ENSG00000081307,"EIEE44, SCAR24, THIFP1, UBE1DC1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
UFC1,ENSG00000143222,"HSPC155, NEDSG",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
UFM1,ENSG00000120686,"BM-002, C13orf20, HLD14",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
PEX5,ENSG00000139197,"PBD2A, PBD2B, PTS1-BP, PTS1R, PXR1, RCDP5",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
VCP,ENSG00000165280,"CDC48, p97, TERA",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
LRSAM1,ENSG00000148356,"CMT2P, RIFLE, TAL",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
PHF23,ENSG00000040633,hJUNE-1b,Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
RNF166,ENSG00000158717,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
AUP1,ENSG00000115307,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
UBE2G2,ENSG00000184787,UBC7,Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
RAB7A,ENSG00000075785,"CMT2B, PRO2706, RAB7",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
RAB7B,ENSG00000276600,RAB7,Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
ADRB2,ENSG00000169252,"ADRB2R, ADRBR, B2AR, BAR, BETA2AR",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
USP9X,ENSG00000124486,"DFFRX, FAF, FAM, MRX99, MRXS99F, USP9",Autophagy-Lysosome Pathway,Autophagy substrate selection,Marking substrates for selective autophagy,Proteostasis
SQSTM1,ENSG00000161011,"A170, DMRV, FTDALS3, NADGP, ORCA, OSIL, p60, p62, p62B, PDB3, ZIP3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
OPTN,ENSG00000123240,"ALS12, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CALCOCO2,ENSG00000136436,NDP52,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TAX1BP1,ENSG00000106052,"CALCOCO3, T6BP, TXBP151",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
FUNDC1,ENSG00000069509,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
BCL2L13,ENSG00000099968,"Bcl2-L-13, BCL-RAMBO, MIL1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
FKBP8,ENSG00000105701,"FKBP38, FKBPr38",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
PHB2,ENSG00000215021,"BAP, Bap37, BCAP37, hBAP, p22, PNAS-141, REA",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
NLRX1,ENSG00000160703,"CLR11.3, DLNB26, NOD26, NOD5, NOD9",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TUFM,ENSG00000178952,"COXPD4, EFTU, EF-TuMT, P43",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
MAP1S,ENSG00000130479,"BPY2IP1, C19orf5, MAP8, VCY2IP-1, VCY2IP1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TBC1D15,ENSG00000121749,RAB7-GAP,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TBC1D17,ENSG00000104946,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
BNIP3,ENSG00000176171,NIP3,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
BNIP3L,ENSG00000104765,"BNIP3a, BNIP3A, BNIP3H, NIX",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
RETREG1,ENSG00000154153,"FAM134B, JK-1, JK1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
RETREG2,ENSG00000144567,"C2orf17, FAM134A, MAG-2, MAG2",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
RETREG3,ENSG00000141699,FAM134C,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
SEC62,ENSG00000008952,"Dtrp1, HTP1, TLOC1, TP-1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
RTN3,ENSG00000133318,"ASYIP, HAP, NSPL2, NSPLII, RTN3-A1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CCPG1,ENSG00000260916,"CCP8, CPR8, KIAA1254",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
ATL3,ENSG00000184743,HSN1F,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TEX264,ENSG00000164081,ZSIG11,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CALCOCO1,ENSG00000012822,"calphoglin, Cocoa, KIAA1536, PP13275",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CDK5RAP3,ENSG00000108465,"C53, HSF-27, IC53, LZAP, MST016, OK/SW-cl.114, PP1553",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
SQSTM1,ENSG00000161011,"A170, DMRV, FTDALS3, NADGP, ORCA, OSIL, p60, p62, p62B, PDB3, ZIP3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
NBR1,ENSG00000188554,"1A1-3B, 1A13B, IAI3B, KIAA0049, M17S2, MIG19",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CALCOCO2,ENSG00000136436,NDP52,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TRIM16,ENSG00000221926,EBBP,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
PJVK,ENSG00000204311,DFNB59,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
LMNB1,ENSG00000113368,"ADLD, LMN, LMN2, LMNB",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
SQSTM1,ENSG00000161011,"A170, DMRV, FTDALS3, NADGP, ORCA, OSIL, p60, p62, p62B, PDB3, ZIP3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
OPTN,ENSG00000123240,"ALS12, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CALCOCO2,ENSG00000136436,NDP52,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TAX1BP1,ENSG00000106052,"CALCOCO3, T6BP, TXBP151",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TRIM5,ENSG00000132256,"RNF88, TRIM5alpha",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
SQSTM1,ENSG00000161011,"A170, DMRV, FTDALS3, NADGP, ORCA, OSIL, p60, p62, p62B, PDB3, ZIP3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
NBR1,ENSG00000188554,"1A1-3B, 1A13B, IAI3B, KIAA0049, M17S2, MIG19",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
OPTN,ENSG00000123240,"ALS12, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TOLLIP,ENSG00000078902,IL-1RAcPIP,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
MAP1S,ENSG00000130479,"BPY2IP1, C19orf5, MAP8, VCY2IP-1, VCY2IP1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
STBD1,ENSG00000118804,"GENEX3414, GENX-3414",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
NUFIP1,ENSG00000083635,"bA540M5.1, NUFIP, Rsa1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
NCOA4,ENSG00000266412,"ARA70, ELE1, PTC3, RFG",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
RAB26,ENSG00000167964,V46133,Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
SQSTM1,ENSG00000161011,"A170, DMRV, FTDALS3, NADGP, ORCA, OSIL, p60, p62, p62B, PDB3, ZIP3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
NBR1,ENSG00000188554,"1A1-3B, 1A13B, IAI3B, KIAA0049, M17S2, MIG19",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
TRIM17,ENSG00000162931,"RBCC, RNF16, terf, TERF",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
MEFV,ENSG00000103313,"FMF, MEF, PAAND, TRIM20",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
CCDC50,ENSG00000152492,"C3orf6, DFNA44, YMER",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
HSPA8,ENSG00000109971,"HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP-1, LAP1, NIP71",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
BAG3,ENSG00000151929,"BAG-3, BIS, CAIR-1, MFM6",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
HSPB8,ENSG00000152137,"CMT2L, CRYAC, DHMN2, E2IG1, H11, HMN2, HMN2A, HSP22",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
STUB1,ENSG00000103266,"CHIP, HSPABP2, NY-CO-7, SCA48, SCAR16, SDCCAG7, UBOX1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Selective autophagy receptor,Proteostasis
SAMM50,ENSG00000100347,"CGI-51, OMP85, SAM50, TOB55, TRG-3, YNL026W",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
FBXO7,ENSG00000100225,"FBX, FBX07, FBX7, PARK15, PKPS",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
VPS13D,ENSG00000048707,"KIAA0453, SCAR4",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
PLAA,ENSG00000137055,"DOA1, NDMSBA, PLA2P, PLAP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
YOD1,ENSG00000180667,"DUBA8, HIN7, OTUD2, PRO0907",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
UBXN6,ENSG00000167671,"UBXD1, UBXDC2",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
ACBD5,ENSG00000107897,"KIAA1996, RDLKD",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
WDFY3,ENSG00000163625,"ALFY, BCHS, KIAA0993, MCPH18, ZFYVE25",Autophagy-Lysosome Pathway,Autophagy substrate selection,Substrate selectivity regulator for selective autophagy,Proteostasis
TRIM21,ENSG00000132109,"RNF81, RO52, Ro/SSA, SSA, SSA1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
PPARGC1A,ENSG00000109819,"LEM6, PGC1, PGC1A, PGC-1(alpha), PGC-1alpha, PGC-1v, PPARGC1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
TRIB3,ENSG00000101255,"C20orf97, NIPK, SINK, SKIP3, TRB3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
USP36,ENSG00000055483,"DUB1, KIAA1453",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
DDX5,ENSG00000108654,"G17P1, HELR, HLR1, HUMP68, p68",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
RIPK3,ENSG00000129465,RIP3,Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
SKP2,ENSG00000145604,"FBL1, FBXL1, FLB1, p45",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
NEDD4,ENSG00000069869,"KIAA0093, NEDD4-1, RPF1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
BNIP1,ENSG00000113734,"NIP1, SEC20, SEC20L, TRG-8",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
RNF185,ENSG00000138942,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
MARCHF5,ENSG00000198060,"MARCH5, MARCH-V, MITOL, RNF153",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
TBK1,ENSG00000183735,"FTDALS4, IIAE8, NAK, T2K",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
TANK,ENSG00000136560,"I-TRAF, ITRAF, TRAF2",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
NAP1L1,ENSG00000187109,"NAP1, NAP1L, NRP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
LGALS8,ENSG00000116977,"Gal-8, PCTA-1, PCTA1, Po66-CBP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
AZI2,ENSG00000163512,"AZ2, NAP1, TBKBP2, TILP",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
SYNPO2,ENSG00000172403,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor regulation,Proteostasis
CALCOCO2,ENSG00000136436,NDP52,Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagosome formation for selective autophagy,Proteostasis
RABGEF1,ENSG00000154710,"rabex-5, RABEX5, RAP1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagosome formation for selective autophagy,Proteostasis
RAB17,ENSG00000124839,(none known),Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagosome formation for selective autophagy,Proteostasis
RAB23,ENSG00000112210,HSPC137,Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagosome formation for selective autophagy,Proteostasis
MAP1LC3A,ENSG00000101460,"ATG8E, LC3, LC3A, MAP1ALC3, MAP1BLC3",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor recognition,Proteostasis
MAP1LC3B,ENSG00000140941,"ATG8F, LC3B, MAP1A/1BLC3, MAP1ALC3, MAP1LC3B-a",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor recognition,Proteostasis
MAP1LC3C,ENSG00000197769,"ATG8J, LC3C",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor recognition,Proteostasis
GABARAP,ENSG00000170296,"ATG8A, FLC3B, GABARAP-a, MM46",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor recognition,Proteostasis
GABARAPL1,ENSG00000139112,"APG8L, APG8-LIKE, ATG8, ATG8B, ATG8L, GEC1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor recognition,Proteostasis
GABARAPL2,ENSG00000034713,"ATG8, ATG8C, FLC3A, GATE-16, GATE16, GEF-2, GEF2",Autophagy-Lysosome Pathway,Autophagy substrate selection,Autophagy receptor recognition,Proteostasis
SPATA18,ENSG00000163071,"Mieap, MIEAP, SPETEX1",Autophagy-Lysosome Pathway,Autophagy substrate selection,Specific function in autophagy substrate selection unknown,Proteostasis
OPA1,ENSG00000198836,"BERHS, KIAA0567, largeG, MGM1, MTDPS14, NPG, NTG",Autophagy-Lysosome Pathway,Autophagy substrate selection,Specific function in autophagy substrate selection unknown,Proteostasis
TSG101,ENSG00000074319,"TSG10, VPS23",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS28,ENSG00000160948,(none known),Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS37A,ENSG00000155975,"HCRP1, PQBP2, SPG53",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS37B,ENSG00000139722,(none known),Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS37C,ENSG00000167987,PML39,Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS37D,ENSG00000176428,WBSCR24,Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
MVB12A,ENSG00000141971,"CFBP, FAM125A",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
MVB12B,ENSG00000196814,"C9orf28, FAM125B",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
UBAP1,ENSG00000165006,"NAG20, SPG80, UAP, UBAP, UBAP-1",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
UMAD1,ENSG00000219545,"RPA3-AS1, RPA3OS",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP1A,ENSG00000131165,"CHMP1, PCH8, PCOLN3, PRSM1, VPS46-1, VPS46A",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP1B,ENSG00000255112,"C10orf2, C18-ORF2, C18orf2, CHMP1.5, hVps46-2, Vps46-2, Vps46B",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP2A,ENSG00000130724,"BC-2, BC2, CHMP2, VPS2, VPS2A",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP2B,ENSG00000083937,"ALS17, CHMP2.5, DMT1, VPS2-2, VPS2B",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP3,ENSG00000115561,"CGI-149, CGI149, NEDF, VPS24",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP4A,ENSG00000254505,"C14orf123, CHMP4, CHMP4B, HSPC134, SHAX2, SNF7, SNF7-1, VPS32-1, VPS32A",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP4B,ENSG00000101421,"C20orf178, CHMP4A, CTPP3, CTRCT31, dJ553F4.4, Shax1, SHAX1, SNF7, SNF7-2, Vps32-2, VPS32B",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP4C,ENSG00000164695,"Shax3, SHAX3, SNF7-3, VPS32C",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP5,ENSG00000086065,"C9orf83, CGI-34, HSPC177, PNAS-2, SNF7DC2, Vps60",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP6,ENSG00000176108,VPS20,Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CHMP7,ENSG00000147457,(none known),Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS4A,ENSG00000132612,"SKD1, SKD1A, SKD2, VPS4, VPS4-1",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS4B,ENSG00000119541,"MIG1, SKD1, SKD1B, VPS4-2, VPS42",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
STX12,ENSG00000117758,"STX13, STX14",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VTI1A,ENSG00000151532,"MMDS3, MVti1, Vti1-rp2, VTI1RP2",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
PDCD6IP,ENSG00000170248,"AIP1, ALIX, DRIP4, HP95, KIAA1375",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
VPS37A,ENSG00000155975,"HCRP1, PQBP2, SPG53",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
STX12,ENSG00000117758,"STX13, STX14",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
GABARAPL2,ENSG00000034713,"ATG8, ATG8C, FLC3A, GATE-16, GATE16, GEF-2, GEF2",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
CSNK1D,ENSG00000141551,"ASPS, CKId, CKI-delta, CKIdelta, FASPS2, HCKID",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Sealing of autophagophore membrane,Proteostasis
MAP1LC3B,ENSG00000140941,"ATG8F, LC3B, MAP1A/1BLC3, MAP1ALC3, MAP1LC3B-a",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
RILP,ENSG00000167705,PP10141,Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
ARL8A,ENSG00000143862,"ARL10B, GIE2",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
ARL8B,ENSG00000134108,"ARL10C, Gie1, GIE1",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
RUFY3,ENSG00000018189,"KIAA0871, RIPX, SINGAR1, ZFYVE30",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
RUFY4,ENSG00000188282,ZFYVE31,Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
MAPK8IP1,ENSG00000121653,"IB1, JIP-1, JIP1, PRKM8IP",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
FYCO1,ENSG00000163820,"CATC2, CTRCT18, RUFY3, ZFYVE7",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
MYO6,ENSG00000196586,"DFNA22, DFNB37, KIAA0389",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
TAX1BP1,ENSG00000106052,"CALCOCO3, T6BP, TXBP151",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
TOM1,ENSG00000100284,(none known),Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
CALCOCO2,ENSG00000136436,NDP52,Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
HTT,ENSG00000197386,"HD, IT15, LOMARS",Autophagy-Lysosome Pathway,Autophagosome closure maturation and lysosome fusion,Localization of the autophagosome,Proteostasis
